home_team,away_team,player_name,line,over_price,over_agency,under_price,under_agency,market_name,match,margin
Florida Panthers,New York Islanders,Mathew Barzal,0.5,2.3,Neds,1.57,Bet365,Player Assists,Florida Panthers v New York Islanders,-7.172528385488786
Seattle Kraken,Calgary Flames,Mikael Backlund,0.5,3.68,Pinnacle,1.25,Bet365,Player Assists,Seattle Kraken v Calgary Flames,-7.173913043478253
Florida Panthers,New York Islanders,Brock Nelson,0.5,2.65,Bet365,1.44,Bet365,Player Assists,Florida Panthers v New York Islanders,-7.180293501048229
UTA Hockey Club,St. Louis Blues,Jordan Kyrou,0.5,2.65,Bet365,1.44,Bet365,Player Assists,UTA Hockey Club v St. Louis Blues,-7.180293501048229
Vancouver Canucks,Detroit Red Wings,Alex DeBrincat,0.5,2.65,Bet365,1.44,Bet365,Player Assists,Vancouver Canucks v Detroit Red Wings,-7.180293501048229
Dallas Stars,Columbus Blue Jackets,Adam Fantilli,0.5,2.88,Pinnacle,1.38,Bet365,Player Assists,Dallas Stars v Columbus Blue Jackets,-7.185990338164272
Florida Panthers,New York Islanders,Sam Bennett,0.5,2.88,Pinnacle,1.38,Bet365,Player Assists,Florida Panthers v New York Islanders,-7.185990338164272
Florida Panthers,New York Islanders,Tony DeAngelo,0.5,2.88,Pinnacle,1.38,Bet365,Player Assists,Florida Panthers v New York Islanders,-7.185990338164272
Dallas Stars,Columbus Blue Jackets,Kirill Marchenko,0.5,2.67,Sportsbet,1.434,Pinnacle,Player Assists,Dallas Stars v Columbus Blue Jackets,-7.188190494099955
New York Rangers,Vegas Golden Knights,Shea Theodore,0.5,1.952,Pinnacle,1.787,Pinnacle,Player Assists,New York Rangers v Vegas Golden Knights,-7.189217206234444
Dallas Stars,Columbus Blue Jackets,Dmitri Voronkov,0.5,3.05,Bet365,1.344,Pinnacle,Player Assists,Dallas Stars v Columbus Blue Jackets,-7.191647150663538
Florida Panthers,New York Islanders,Gustav Forsling,0.5,3.37,Pinnacle,1.29,Bet365,Player Assists,Florida Panthers v New York Islanders,-7.192970349412264
Florida Panthers,New York Islanders,Anton Lundell,0.5,3.07,Pinnacle,1.34,Bet365,Player Assists,Florida Panthers v New York Islanders,-7.200155573921929
Florida Panthers,New York Islanders,Matthew Tkachuk,0.5,1.869,Pinnacle,1.862,Pinnacle,Player Assists,Florida Panthers v New York Islanders,-7.21024069000753
